Country,Country_label,INDUSTRY,Quarter,STAGE,Sum_of_deals
CAN,Canada,-- All industries --,2012,VC,4.330255
CAN,Canada,-- All industries --,2013,VC,175.940137
CAN,Canada,-- All industries --,2014,VC,108.687697
CAN,Canada,-- All industries --,2015,VC,5
CAN,Canada,-- All industries --,2016,VC,32.649321
CAN,Canada,-- All industries --,2017,VC,6.61602
CAN,Canada,-- All industries --,2018,VC,66.68896000000001
CAN,Canada,-- All industries --,2019,VC,70.644279
CAN,Canada,-- All industries --,2020,VC,52.741481
CAN,Canada,-- All industries --,2021,VC,103.654699
CAN,Canada,-- All industries --,2022,VC,8
CAN,Canada,-- All industries --,2023,VC,87.18821999999999
CAN,Canada,-- All industries --,2024,VC,142.519797
CAN,Canada,-- All industries --,2025,VC,206.05439
JPN,Japan,-- All industries --,2013,VC,4.320961
JPN,Japan,-- All industries --,2014,VC,1.954311
JPN,Japan,-- All industries --,2015,VC,29.386400000000002
JPN,Japan,-- All industries --,2016,VC,4.344574
JPN,Japan,-- All industries --,2017,VC,145.176375
JPN,Japan,-- All industries --,2018,VC,38.556411999999995
JPN,Japan,-- All industries --,2019,VC,46.810767
JPN,Japan,-- All industries --,2020,VC,35.052746
JPN,Japan,-- All industries --,2021,VC,88.11243999999999
JPN,Japan,-- All industries --,2022,VC,56.65567
JPN,Japan,-- All industries --,2023,VC,50.547306
JPN,Japan,-- All industries --,2024,VC,149.212129
JPN,Japan,-- All industries --,2025,VC,54.17108900000001
DEU,Germany,-- All industries --,2013,VC,3.656537
DEU,Germany,-- All industries --,2016,VC,14
DEU,Germany,-- All industries --,2017,VC,28
DEU,Germany,-- All industries --,2018,VC,36.298235
DEU,Germany,-- All industries --,2019,VC,6.820665
DEU,Germany,-- All industries --,2020,VC,87.564941
DEU,Germany,-- All industries --,2021,VC,221.30911600000002
DEU,Germany,-- All industries --,2022,VC,96.88205549999999
DEU,Germany,-- All industries --,2023,VC,23.243449000000002
DEU,Germany,-- All industries --,2024,VC,16.994462
DEU,Germany,-- All industries --,2025,VC,47.366567
IND,India,-- All industries --,2015,VC,0.078767
IND,India,-- All industries --,2016,VC,0.877559
IND,India,-- All industries --,2017,VC,2.331795
IND,India,-- All industries --,2018,VC,3.7317329999999997
IND,India,-- All industries --,2019,VC,5.23909
IND,India,-- All industries --,2020,VC,13.969883
IND,India,-- All industries --,2021,VC,44.104305
IND,India,-- All industries --,2022,VC,70.078609
IND,India,-- All industries --,2023,VC,79.407968
IND,India,-- All industries --,2024,VC,69.389439
IND,India,-- All industries --,2025,VC,43.833501
ARE,United Arab Emirates,-- All industries --,2022,VC,1.1
ARE,United Arab Emirates,-- All industries --,2023,VC,1.78
ARE,United Arab Emirates,-- All industries --,2024,VC,3.4000000000000004
ARE,United Arab Emirates,-- All industries --,2025,VC,16
