ai_concept,Country/territory,Country/territory_label,impact_level,pub_type,publications,year
All AI research,CHN,China (People's Republic of),High impact,All publication types,826.1566867093956,2007
All AI research,CHN,China (People's Republic of),High impact,All publication types,1020.2469325910013,2008
All AI research,CHN,China (People's Republic of),High impact,All publication types,1122.1086105893055,2009
All AI research,CHN,China (People's Republic of),High impact,All publication types,1249.8384647745352,2010
All AI research,CHN,China (People's Republic of),High impact,All publication types,1160.8722255711755,2011
All AI research,CHN,China (People's Republic of),High impact,All publication types,1206.5035752290062,2012
All AI research,CHN,China (People's Republic of),High impact,All publication types,1405.9547669563974,2013
All AI research,CHN,China (People's Republic of),High impact,All publication types,1777.0146886020189,2014
All AI research,CHN,China (People's Republic of),High impact,All publication types,2123.628344310253,2015
All AI research,CHN,China (People's Republic of),High impact,All publication types,2403.753497264694,2016
All AI research,CHN,China (People's Republic of),High impact,All publication types,3164.0109831872796,2017
All AI research,CHN,China (People's Republic of),High impact,All publication types,4761.203647350146,2018
All AI research,CHN,China (People's Republic of),High impact,All publication types,6634.253724458709,2019
All AI research,CHN,China (People's Republic of),High impact,All publication types,8264.907159903529,2020
All AI research,CHN,China (People's Republic of),High impact,All publication types,9500.629933046439,2021
All AI research,CHN,China (People's Republic of),High impact,All publication types,11385.036671773007,2022
All AI research,CHN,China (People's Republic of),High impact,All publication types,11353.060325801142,2023
All AI research,CHN,China (People's Republic of),High impact,All publication types,7583.341297601956,2024
All AI research,CHN,China (People's Republic of),High impact,All publication types,977.1253093424162,2025
All AI research,IND,India,High impact,All publication types,50.5,2000
All AI research,IND,India,High impact,All publication types,42.83333343267441,2001
All AI research,IND,India,High impact,All publication types,152.73333367705345,2002
All AI research,IND,India,High impact,All publication types,124.58095241089663,2003
All AI research,IND,India,High impact,All publication types,127.37500041040282,2004
All AI research,IND,India,High impact,All publication types,149.5333335325122,2005
All AI research,IND,India,High impact,All publication types,173.56666718423367,2006
All AI research,IND,India,High impact,All publication types,234.48571477532386,2007
All AI research,IND,India,High impact,All publication types,368.0666677504778,2008
All AI research,IND,India,High impact,All publication types,377.9347997069359,2009
All AI research,IND,India,High impact,All publication types,593.8828460890895,2010
All AI research,IND,India,High impact,All publication types,637.6588244684041,2011
All AI research,IND,India,High impact,All publication types,830.0952394773562,2012
All AI research,IND,India,High impact,All publication types,790.0023818602165,2013
All AI research,IND,India,High impact,All publication types,907.5967337936163,2014
All AI research,IND,India,High impact,All publication types,1081.536552140365,2015
All AI research,IND,India,High impact,All publication types,1168.0401537910104,2016
All AI research,IND,India,High impact,All publication types,1279.7044374629854,2017
All AI research,IND,India,High impact,All publication types,1663.8783545901379,2018
All AI research,IND,India,High impact,All publication types,1686.303842983643,2019
All AI research,IND,India,High impact,All publication types,2514.085740762949,2020
All AI research,IND,India,High impact,All publication types,2942.61953752016,2021
All AI research,IND,India,High impact,All publication types,3217.0367950355844,2022
All AI research,IND,India,High impact,All publication types,3261.599548218659,2023
All AI research,IND,India,High impact,All publication types,1769.2957583241518,2024
All AI research,IND,India,High impact,All publication types,132.73868792504072,2025
All AI research,GBR,United Kingdom,High impact,All publication types,413.3424609783623,2000
All AI research,GBR,United Kingdom,High impact,All publication types,383.83333425621197,2001
All AI research,GBR,United Kingdom,High impact,All publication types,1027.686581772566,2002
All AI research,GBR,United Kingdom,High impact,All publication types,720.5579379002253,2003
All AI research,GBR,United Kingdom,High impact,All publication types,597.1375197984278,2004
All AI research,GBR,United Kingdom,High impact,All publication types,763.2345268259446,2005
All AI research,GBR,United Kingdom,High impact,All publication types,875.7241950740416,2006
All AI research,GBR,United Kingdom,High impact,All publication types,857.000796259514,2007
All AI research,GBR,United Kingdom,High impact,All publication types,834.5647906189164,2008
All AI research,GBR,United Kingdom,High impact,All publication types,792.8186841883593,2009
All AI research,GBR,United Kingdom,High impact,All publication types,881.1648923648364,2010
All AI research,GBR,United Kingdom,High impact,All publication types,818.6601219795167,2011
All AI research,GBR,United Kingdom,High impact,All publication types,812.605840477111,2012
All AI research,GBR,United Kingdom,High impact,All publication types,877.0297873811843,2013
All AI research,GBR,United Kingdom,High impact,All publication types,895.1738050467201,2014
All AI research,GBR,United Kingdom,High impact,All publication types,917.0301800919393,2015
All AI research,GBR,United Kingdom,High impact,All publication types,998.4261778957373,2016
All AI research,GBR,United Kingdom,High impact,All publication types,1036.135061168103,2017
All AI research,GBR,United Kingdom,High impact,All publication types,1218.4355997935647,2018
All AI research,GBR,United Kingdom,High impact,All publication types,1494.7594302517314,2019
All AI research,GBR,United Kingdom,High impact,All publication types,1634.6519580150823,2020
All AI research,GBR,United Kingdom,High impact,All publication types,1529.246427551855,2021
All AI research,GBR,United Kingdom,High impact,All publication types,1315.5368650368516,2022
All AI research,GBR,United Kingdom,High impact,All publication types,1244.6465692873608,2023
All AI research,GBR,United Kingdom,High impact,All publication types,707.6305986825467,2024
All AI research,GBR,United Kingdom,High impact,All publication types,98.2181947812438,2025
All AI research,DEU,Germany,High impact,All publication types,279.58571472267306,2000
All AI research,DEU,Germany,High impact,All publication types,269.5841277062893,2001
All AI research,DEU,Germany,High impact,All publication types,879.773161760824,2002
All AI research,DEU,Germany,High impact,All publication types,476.5500007390976,2003
All AI research,DEU,Germany,High impact,All publication types,464.23008756736914,2004
All AI research,DEU,Germany,High impact,All publication types,574.5084263215463,2005
All AI research,DEU,Germany,High impact,All publication types,622.073089531064,2006
All AI research,DEU,Germany,High impact,All publication types,664.1975848466985,2007
All AI research,DEU,Germany,High impact,All publication types,678.6551531260213,2008
All AI research,DEU,Germany,High impact,All publication types,788.0228052768086,2009
All AI research,DEU,Germany,High impact,All publication types,993.2579656879714,2010
All AI research,DEU,Germany,High impact,All publication types,897.9375858138006,2011
All AI research,DEU,Germany,High impact,All publication types,946.5412324804031,2012
All AI research,DEU,Germany,High impact,All publication types,894.6736809591603,2013
All AI research,DEU,Germany,High impact,All publication types,907.5823299614447,2014
All AI research,DEU,Germany,High impact,All publication types,815.6343795023259,2015
All AI research,DEU,Germany,High impact,All publication types,901.5100091003118,2016
All AI research,DEU,Germany,High impact,All publication types,985.9372449291152,2017
All AI research,DEU,Germany,High impact,All publication types,1121.4366776088636,2018
All AI research,DEU,Germany,High impact,All publication types,1260.5655748244435,2019
All AI research,DEU,Germany,High impact,All publication types,1355.7732163766038,2020
All AI research,DEU,Germany,High impact,All publication types,1312.223681612216,2021
