Country,Country_label,INDUSTRY,Quarter,STAGE,Sum_of_deals
JPN,Japan,-- All industries --,2024,VC,184.2837205
JPN,Japan,-- All industries --,2025,VC,40.1183335
DEU,Germany,-- All industries --,2012,VC,0.83602
DEU,Germany,-- All industries --,2013,VC,2.118117
DEU,Germany,-- All industries --,2014,VC,0.337184
DEU,Germany,-- All industries --,2015,VC,0.647126
DEU,Germany,-- All industries --,2016,VC,2
DEU,Germany,-- All industries --,2017,VC,4.831276
DEU,Germany,-- All industries --,2018,VC,16.005090000000003
DEU,Germany,-- All industries --,2019,VC,22.464877
DEU,Germany,-- All industries --,2020,VC,42.766113000000004
DEU,Germany,-- All industries --,2021,VC,186.57357699999997
DEU,Germany,-- All industries --,2022,VC,74.959475
DEU,Germany,-- All industries --,2023,VC,73.9215895
DEU,Germany,-- All industries --,2024,VC,75.032855
DEU,Germany,-- All industries --,2025,VC,369.08583500000003
IND,India,-- All industries --,2012,VC,0.980598
IND,India,-- All industries --,2013,VC,6.14844
IND,India,-- All industries --,2014,VC,0.875899
IND,India,-- All industries --,2015,VC,33.579836
IND,India,-- All industries --,2016,VC,2.754017
IND,India,-- All industries --,2017,VC,3.9672270000000003
IND,India,-- All industries --,2018,VC,8.153231
IND,India,-- All industries --,2019,VC,11.834471999999998
IND,India,-- All industries --,2020,VC,22.8258755
IND,India,-- All industries --,2021,VC,122.734384
IND,India,-- All industries --,2022,VC,72.7054165
IND,India,-- All industries --,2023,VC,74.13859699999999
IND,India,-- All industries --,2024,VC,101.755498
IND,India,-- All industries --,2025,VC,128.2171095
ARE,United Arab Emirates,-- All industries --,2024,VC,2
ARE,United Arab Emirates,-- All industries --,2025,VC,13.266449
