country_code,year,value,indicator,indicator_cn,country_cn,country_en
CAN,2015,4545.96875,RESEARCHERS_PER_MILLION,每百万人口科研人员数（FTE）,加拿大,Canada
CHN,2022,1849.23669,RESEARCHERS_PER_MILLION,每百万人口科研人员数（FTE）,中国,China
CHN,2021,1685.97511,RESEARCHERS_PER_MILLION,每百万人口科研人员数（FTE）,中国,China
CHN,2020,1600.30633,RESEARCHERS_PER_MILLION,每百万人口科研人员数（FTE）,中国,China
CHN,2019,1483.85803,RESEARCHERS_PER_MILLION,每百万人口科研人员数（FTE）,中国,China
CHN,2018,1317.48914,RESEARCHERS_PER_MILLION,每百万人口科研人员数（FTE）,中国,China
CHN,2017,1235.84935,RESEARCHERS_PER_MILLION,每百万人口科研人员数（FTE）,中国,China
CHN,2016,1208.86205,RESEARCHERS_PER_MILLION,每百万人口科研人员数（FTE）,中国,China
CHN,2015,1162.7108,RESEARCHERS_PER_MILLION,每百万人口科研人员数（FTE）,中国,China
DEU,2022,5787.44181,RESEARCHERS_PER_MILLION,每百万人口科研人员数（FTE）,德国,Germany
DEU,2021,5520.57631,RESEARCHERS_PER_MILLION,每百万人口科研人员数（FTE）,德国,Germany
DEU,2020,5390.05249,RESEARCHERS_PER_MILLION,每百万人口科研人员数（FTE）,德国,Germany
DEU,2019,5398.63462,RESEARCHERS_PER_MILLION,每百万人口科研人员数（FTE）,德国,Germany
DEU,2018,5209.2143,RESEARCHERS_PER_MILLION,每百万人口科研人员数（FTE）,德国,Germany
DEU,2017,5058.39528,RESEARCHERS_PER_MILLION,每百万人口科研人员数（FTE）,德国,Germany
DEU,2016,4839.84645,RESEARCHERS_PER_MILLION,每百万人口科研人员数（FTE）,德国,Germany
DEU,2015,4755.29531,RESEARCHERS_PER_MILLION,每百万人口科研人员数（FTE）,德国,Germany
FRA,2022,5181.84576,RESEARCHERS_PER_MILLION,每百万人口科研人员数（FTE）,法国,France
FRA,2021,5058.05374,RESEARCHERS_PER_MILLION,每百万人口科研人员数（FTE）,法国,France
