Country,Period,Year_Start,Year_End,EC,TC,MPI
GBR,2020-2021,2020,2021,1.0000000000000042,1.0976324857250583,1.097632485725063
DEU,2020-2021,2020,2021,0.9197106109014888,1.1887346679886297,1.093291887695601
FRA,2020-2021,2020,2021,1.1157867092880656,0.9472715148286163,1.0569529663329427
CAN,2020-2021,2020,2021,1.0884714304152436,1.0693743421534923,1.1639834198531718
JPN,2020-2021,2020,2021,1.123381623090796,0.9152830167592336,1.0282121209544282
KOR,2020-2021,2020,2021,0.8637110556772408,1.195726149627259,1.0327618949954425
ARE,2020-2021,2020,2021,1.0264490222681908,0.9760001459962321,1.0018143955914438
IND,2020-2021,2020,2021,1.0,0.29303804997595573,0.29303804997595573
USA,2021-2022,2021,2022,1.0676958221751018,1.5507170200143665,1.6556940836451628
CHN,2021-2022,2021,2022,1.0,0.8412689735882832,0.8412689735882832
GBR,2021-2022,2021,2022,0.9999999999999956,1.062385598248896,1.0623855982488912
DEU,2021-2022,2021,2022,1.1737112154730671,0.920179583254097,1.0800250971146665
FRA,2021-2022,2021,2022,1.0052182793785251,0.9713263284576947,0.9763949806073041
CAN,2021-2022,2021,2022,1.0951379066295364,0.9831507936290942,1.0766857020361336
JPN,2021-2022,2021,2022,0.9496647074776267,0.9921876655161105,0.9422456091352663
KOR,2021-2022,2021,2022,1.0798190463196662,0.9357520989756798,1.0104429391075445
ARE,2021-2022,2021,2022,1.0385671224902642,0.9724077583050094,1.0099107274300418
IND,2021-2022,2021,2022,1.0,0.9465508449268855,0.9465508449268855
USA,2022-2023,2022,2023,1.0,0.817980976473706,0.817980976473706
CHN,2022-2023,2022,2023,1.0,1.3864426076461671,1.3864426076461671
GBR,2022-2023,2022,2023,1.0,0.9301295315806198,0.9301295315806198
DEU,2022-2023,2022,2023,1.496430772138534,1.085355972437155,1.6241600758793013
FRA,2022-2023,2022,2023,1.5604406012726297,1.0604287553515064,1.654736084607491
CAN,2022-2023,2022,2023,1.240266930084916,0.8953437314950262,1.1104652212321096
JPN,2022-2023,2022,2023,2.475739061132919,1.0817664312224038,2.6781714087996624
KOR,2022-2023,2022,2023,1.8446713208552301,1.061883102553214,1.9588253053806872
ARE,2022-2023,2022,2023,1.1923198145617095,0.8904513164602667,1.0617027485181352
IND,2022-2023,2022,2023,1.0,0.8934347622499801,0.8934347622499801
USA,2023-2024,2023,2024,0.8059502010101793,0.9172446905328591,0.7392535427104775
CHN,2023-2024,2023,2024,1.0,0.7513535203429824,0.7513535203429824
GBR,2023-2024,2023,2024,1.0000000000000002,1.0264715162725115,1.0264715162725118
DEU,2023-2024,2023,2024,0.7484007994389902,1.150160878103582,0.8607813206561716
FRA,2023-2024,2023,2024,0.7408954669273009,1.1593111922520525,0.8589284070976303
CAN,2023-2024,2023,2024,1.0000000000000022,0.9366840363440012,0.9366840363440033
JPN,2023-2024,2023,2024,0.41795312561781717,1.5109318183460434,0.6314986760731408
KOR,2023-2024,2023,2024,0.5448052187876521,1.3563285248801176,0.7389348587452459
ARE,2023-2024,2023,2024,1.0620976445345909,0.8870635116983193,0.9421480663273675
IND,2023-2024,2023,2024,1.0,3.5252632353877167,3.5252632353877167
USA,2024-2025,2024,2025,1.1248718264999382,1.1829470811893619,1.3306638438702483
CHN,2024-2025,2024,2025,1.0000000000000002,1.8542652843733465,1.854265284373347
GBR,2024-2025,2024,2025,1.000000000000002,0.8856972550293771,0.8856972550293789
DEU,2024-2025,2024,2025,0.47267295850626356,1.5951005578263395,0.7539608997827673
FRA,2024-2025,2024,2025,0.8150423455537357,1.277946687639125,1.0415806657860196
CAN,2024-2025,2024,2025,0.648380971200805,0.9582899656528796,0.6213369786220001
JPN,2024-2025,2024,2025,0.726853509797309,1.2001424550289699,0.8723277556945659
KOR,2024-2025,2024,2025,1.1729060110398233,1.4291666129219969,1.6762781110736344
ARE,2024-2025,2024,2025,0.7681815952653605,1.0138575764803366,0.7788267304725371
IND,2024-2025,2024,2025,1.0,0.8937524818304803,0.8937524818304803
